Ad Number,Position,Category,Requirements,Requirements_processed,Sentiment,Domination
32,Control Engineer,Engineering,Verilen görevlendirmelere özen göstermesi ve saha çalışmasını buna göre programlaması Yapılan ölçüm kontrol ve muayeneleri raporlayabilmesi Şehirdışı seyahat engeli olmaması Sık seyahat edilmesi gereken dönemsel çalışmalara uyum sağlayabilmesi Şehiriçi ve şehirlerarası araç kullanabilmesi B sınıfı ehliyet sahibi MS Office programlarını etkin olarak kullanabilmesi Raporlama ve arşivleme konusunda titiz olarak çalışabilmesi Mesai saatleri form doldurma ve kalite sistemi gibi konularda titiz olan kalite yönetim sistemleri konusunda bilgi sahibi olması Akredite bir firmada çalışmanın sorumluluğunda olabilmesi İş sağlığı ve güvenliği mevzuatına uygun çalışabilmesi Firmanın kaliteli hizmet geleneğine bağlılığı gösterebilmesi Takım çalışmasına yatkın olması İyi iletişim kurabilmesi Öğrenmeye açık olması Çalışma programının yoğunluğuna bağlı olarak mesai saatleri dışında ve haftasonları çalışmaya uyum sağlaması Mekanik kontroller için başvuracak uzmanların tercihen Makine Mühendisleri Odası'ndan ya da TSE'de ilgili eğitim belgelerine sahip olması,verilen görevlendirmelere özen göstermesi ve saha çalışmasını buna göre programlaması yapılan ölçüm kontrol ve muayeneleri raporlayabilmesi şehirdışı seyahat engeli olmaması sık seyahat edilmesi gereken dönemsel çalışmalara uyum sağlayabilmesi şehiriçi ve şehirlerarası araç kullanabilmesi b sınıfı ehliyet sahibi ms office programlarını etkin olarak kullanabilmesi raporlama ve arşivleme konusunda titiz olarak çalışabilmesi mesai saatleri form doldurma ve kalite sistemi gibi konularda titiz olan kalite yönetim sistemleri konusunda bilgi sahibi olması akredite bir firmada çalışmanın sorumluluğunda olabilmesi iş sağlığı ve güvenliği mevzuatına uygun çalışabilmesi firmanın kaliteli hizmet geleneğine bağlılığı gösterebilmesi takım çalışmasına yatkın olması iyi iletişim kurabilmesi öğrenmeye açık olması çalışma programının yoğunluğuna bağlı olarak mesai saatleri dışında ve haftasonları çalışmaya uyum sağlaması mekanik kontroller için başvuracak uzmanların tercihen makine mühendisleri odası'ndan ya da tse'de ilgili eğitim belgelerine sahip olması,positive,male-dominated
33,Ofice Assistant,Assistant,Diksiyonu düzgün dış görünüşüne özen gösteren ekip çalışmasına yatkın esnek çalışma saatlerine uygun İngilizce bilen,diksiyonu düzgün dış görünüşüne özen gösteren ekip çalışmasına yatkın esnek çalışma saatlerine uygun ingilizce bilen,negative,female-dominated
34,Dental Assistant,Assistant,Tercihen Ağız ve Diş Sağlığı Teknikerliği bölümlerinden mezun alanında en az bir yıl tecrübe sahibi hasta ve hasta yakını iletişimi kuvvetli kişisel hijyen tedbirlerine uyum gösterebilecek dış görünüşüne özen gösteren problem çözme ve alternatif çözüm yolları üretme yeteneğine sahip ekip çalışmasına yatkın hasta takibi yapıp randevuları düzenleyebilecek sterilizasyona özen gösterecek ekipman ve cihazları her an kullanıma hazır tutacak detaylara önem verip hiçbir detayı atlamayacak güler yüzlü olup hastaları teskin edecek,tercihen ağız ve diş sağlığı teknikerliği bölümlerinden mezun alanında en az bir yıl tecrübe sahibi hasta ve hasta yakını iletişimi kuvvetli kişisel hijyen tedbirlerine uyum gösterebilecek dış görünüşüne özen gösteren problem çözme ve alternatif çözüm yolları üretme yeteneğine sahip ekip çalışmasına yatkın hasta takibi yapıp randevuları düzenleyebilecek sterilizasyona özen gösterecek ekipman ve cihazları her an kullanıma hazır tutacak detaylara önem verip hiçbir detayı atlamayacak güler yüzlü olup hastaları teskin edecek,negative,female-dominated
35,Account Manager,Manager/director/head,İşletme Reklamcılık Pazarlama Mühendislik veya diğer ilgili alanlarda Lisans Derecesi üç ve üzeri yıllık hesap yönetimi veya marka yönetimi deneyimi İşi ve satış misyonunu ve rollerini iyi anlamak Büyük hesapları yönetmede güçlü başarı sicili Influencer pazarlama sosyal medya medya planlama veya bir FMCG şirketinde deneyim tercih sebebidir Etkileyici pazarlama ekosistemi ve metrikleri hakkında güçlü bir anlayış Mükemmel proje yönetimi ve müşteri yönetimi becerilerine sahip stratejik düşünür Tüm karar verme düzeylerinde geniş bir insan yelpazesiyle başarılı projeler yürütme becerisi Güçlü iş yargısı başkalarını etkilemek için kanıtlanmış yetenek Bir sosyal medya ajansı medya planlama ajansı veya bir FMCG şirketinde deneyim tercih sebebidir güçlü analitik beceriler Güçlü müzakere becerileri harika iletişimci yaratıcı zihin takım oyuncusu Disiplinli kapsayıcı saygılı olumlu tutum çözüm odaklı Mükemmel iletişim becerileri Tam Mesleki Yeterlilik,işletme reklamcılık pazarlama mühendislik veya diğer ilgili alanlarda lisans derecesi üç ve üzeri yıllık hesap yönetimi veya marka yönetimi deneyimi işi ve satış misyonunu ve rollerini iyi anlamak büyük hesapları yönetmede güçlü başarı sicili influencer pazarlama sosyal medya medya planlama veya bir fmcg şirketinde deneyim tercih sebebidir etkileyici pazarlama ekosistemi ve metrikleri hakkında güçlü bir anlayış mükemmel proje yönetimi ve müşteri yönetimi becerilerine sahip stratejik düşünür tüm karar verme düzeylerinde geniş bir insan yelpazesiyle başarılı projeler yürütme becerisi güçlü iş yargısı başkalarını etkilemek için kanıtlanmış yetenek bir sosyal medya ajansı medya planlama ajansı veya bir fmcg şirketinde deneyim tercih sebebidir güçlü analitik beceriler güçlü müzakere becerileri harika iletişimci yaratıcı zihin takım oyuncusu disiplinli kapsayıcı saygılı olumlu tutum çözüm odaklı mükemmel iletişim becerileri tam mesleki yeterlilik,positive,male-dominated
36,Project Manager,Manager/director/head,Elektrik Makine veya Endüstri Mühendisliği lisans derecesi Fransızca veya İngilizce sözlü ve yazılı akıcılık En az iki yıl proje yönetimi sözleşme yönetimi veya enerji jeneratör tercihen trafo alanında iş geliştirme deneyimi Güçlü sözlü ve yazılı iletişim becerileri ve güçlü kişilerarası ve liderlik becerileri Aynı anda birkaç projeyi koordine etme yeteneği Problemleri analiz etme ve çözme yeteneğinin gösterilmesi,elektrik makine veya endüstri mühendisliği lisans derecesi fransızca veya ingilizce sözlü ve yazılı akıcılık en az iki yıl proje yönetimi sözleşme yönetimi veya enerji jeneratör tercihen trafo alanında iş geliştirme deneyimi güçlü sözlü ve yazılı iletişim becerileri ve güçlü kişilerarası ve liderlik becerileri aynı anda birkaç projeyi koordine etme yeteneği problemleri analiz etme ve çözme yeteneğinin gösterilmesi,positive,male-dominated
37,Na,Manager/director/head,Üniversitelerin tercihen İktisat İşletme Maliye vb. bölümlerinden mezun Genel muhasebe ve bordro uygulamalarında en az üç yıl deneyimli Microsoft Office programlarını iyi düzeyde kullanabilen Tek düzen muhasebe hesap planı ve vergi uygulamaları konusuna hakim Vergi mevzuatına hakim B sınıfı sürücü belgesine sahip İletişim becerileri güçlü çözüm odaklı ve ekip çalışmasına yatkın,üniversitelerin tercihen iktisat işletme maliye vb. bölümlerinden mezun genel muhasebe ve bordro uygulamalarında en az üç yıl deneyimli microsoft office programlarını iyi düzeyde kullanabilen tek düzen muhasebe hesap planı ve vergi uygulamaları konusuna hakim vergi mevzuatına hakim b sınıfı sürücü belgesine sahip iletişim becerileri güçlü çözüm odaklı ve ekip çalışmasına yatkın,positive,male-dominated
38,Marketing Specialist,Manager/director/head,Üniversitelerin ilgili bölümlerinden mezun İleri düzeyde İngilizce Google Ads Analytics Linkedin hesaplarını yönetmiş ve hesap yönetimi konusunda en az iki-üç yıl deneyime sahip SEO bilgisine sahip Dijital pazarlama araçları ve kanalları hakkında bilgi sahibi MS Office uygulamalarını aktif olarak kullanabilen İstanbul Anadolu Yakası'nda ikamet eden veya edebilecek olan,üniversitelerin ilgili bölümlerinden mezun ileri düzeyde ingilizce google ads analytics linkedin hesaplarını yönetmiş ve hesap yönetimi konusunda en az iki-üç yıl deneyime sahip seo bilgisine sahip dijital pazarlama araçları ve kanalları hakkında bilgi sahibi ms office uygulamalarını aktif olarak kullanabilen istanbul anadolu yakası'nda ikamet eden veya edebilecek olan,neutral,male-dominated
39,Account Manager,Manager/director/head,Üniversitelerin ilgili bölümlerinden mezun İyi derecede İngilizce bilen ve aktif olarak kullanabilen Karayolu satış tecrübesine sahip Minimum bir yıl ilgili alanlarda satış ve portföy yönetimi tecrübesine sahip Operasyon süreçlerinin yanı sıra Satış odaklı çalışabilecek İletişimi kuvvetli değişime ve gelişime açık Analitik düşünme ve hızlı karar verme yeteneğine sahip Takım çalışması ve yoğun iş temposuna yatkın Temsil yeteneği kuvvetli MS Office uygulamalarına hakim Erkek adaylar için askerlik görevi tamamlanmış,üniversitelerin ilgili bölümlerinden mezun iyi derecede ingilizce bilen ve aktif olarak kullanabilen karayolu satış tecrübesine sahip minimum bir yıl ilgili alanlarda satış ve portföy yönetimi tecrübesine sahip operasyon süreçlerinin yanı sıra satış odaklı çalışabilecek iletişimi kuvvetli değişime ve gelişime açık analitik düşünme ve hızlı karar verme yeteneğine sahip takım çalışması ve yoğun iş temposuna yatkın temsil yeteneği kuvvetli ms office uygulamalarına hakim erkek adaylar için askerlik görevi tamamlanmış,positive,male-dominated
40,Marine Account Manager,Manager/director/head,Tercihen Mühendislik alanında lisans derecesi Deniz pazarında kanıtlanmış satış becerileri tercih edilen en az beş yıllık deneyim Çok iyi derecede sözlü ve yazılı İngilizce bilgisi Hesap yönetimi becerileri İyi bir MS Office komutu ile bilgisayar becerileri,tercihen mühendislik alanında lisans derecesi deniz pazarında kanıtlanmış satış becerileri tercih edilen en az beş yıllık deneyim çok iyi derecede sözlü ve yazılı ingilizce bilgisi hesap yönetimi becerileri iyi bir ms office komutu ile bilgisayar becerileri,neutral,male-dominated
41,Sales Specialist,Sales Representative/Specialist,Ana dili İngilizce olan ve çok dilli Türk Vatandaşlığı Satış ve pazarlama konusunda deneyimli ve ilgili Tercihen bir sağlık turizmi acentesinde en az iki yıl çalışmış Hasta ve hedef odaklı ekip çalışmasına yatkın Verilen tüm görevleri içinde bulunarak tamamlayabilen Yönetici ile sürekli iletişim halinde Online ve uzaktan çalışabilen İletişim becerileri kuvvetli telefonda ifade ve ikna kabiliyeti kuvvetli Sağlık turizmi alanında kendini geliştirebilecek Telefonla kesintisiz hasta iletişimi sağlayabilecek yüzyüze ve çevrimiçi,ana dili ingilizce olan ve çok dilli türk vatandaşlığı satış ve pazarlama konusunda deneyimli ve ilgili tercihen bir sağlık turizmi acentesinde en az iki yıl çalışmış hasta ve hedef odaklı ekip çalışmasına yatkın verilen tüm görevleri içinde bulunarak tamamlayabilen yönetici ile sürekli iletişim halinde online ve uzaktan çalışabilen iletişim becerileri kuvvetli telefonda ifade ve ikna kabiliyeti kuvvetli sağlık turizmi alanında kendini geliştirebilecek telefonla kesintisiz hasta iletişimi sağlayabilecek yüzyüze ve çevrimiçi,positive,male-dominated
42,Satış Temsilcisi,Sales Representative/Specialist,Üniversitelerin dört yıllık bölümlerinden veya iki yıllık yüksek okulların Sigortacılık Bankacılık ile ilgili bölümlerinden mezun Tercihen Segem ve Bireysel Emeklilik sertifika sahibi Sigortacılık veya Bankacılık sektöründe en az bir yıl satış alanında tecrübeli Temsil kabiliyetine sahip kendini geliştirmeye ve öğrenmeye açık Dinamik girişken ve başarı odaklı İletişim yeteneği gelişmiş takım çalışmasına yatkın Müşteri ve ilişki yönetiminde kendine güvenen MS Office programlarını iyi seviyede kullanabilen Seyahat engeli olmayan Erkek adaylar için askerlik görevini tamamlamış,üniversitelerin dört yıllık bölümlerinden veya iki yıllık yüksek okulların sigortacılık bankacılık ile ilgili bölümlerinden mezun tercihen segem ve bireysel emeklilik sertifika sahibi sigortacılık veya bankacılık sektöründe en az bir yıl satış alanında tecrübeli temsil kabiliyetine sahip kendini geliştirmeye ve öğrenmeye açık dinamik girişken ve başarı odaklı iletişim yeteneği gelişmiş takım çalışmasına yatkın müşteri ve ilişki yönetiminde kendine güvenen ms office programlarını iyi seviyede kullanabilen seyahat engeli olmayan erkek adaylar için askerlik görevini tamamlamış,positive,male-dominated
43,,Sales Representative/Specialist,Üniversitelerin ilgili bölümlerinden mezun Tercihen Gıda ve Ambalaj sektöründe deneyimli  İletişim yönü kuvvetli seyahat engeli olmayan ikna kabiliyeti yüksek Tercihen en az iki yıl tecrübeli Tercihen İngilizce bilen Ms Office programlarına hakim Takım çalışmasına yatkın Erkek adaylar için askerlikle ilişiği olmayan,üniversitelerin ilgili bölümlerinden mezun tercihen gıda ve ambalaj sektöründe deneyimli  iletişim yönü kuvvetli seyahat engeli olmayan ikna kabiliyeti yüksek tercihen en az iki yıl tecrübeli tercihen ingilizce bilen ms office programlarına hakim takım çalışmasına yatkın erkek adaylar için askerlikle ilişiği olmayan,positive,male-dominated
44,Sales Representative,Sales Representative/Specialist,Üniversitelerin İşletme Pazarlama veya Mühendislik bölümlerinden mezun Satış alanında kariyer hedefi olan girişken ve dış görünüşe önem veren Tercihen makine Plc ve otomasyon Sistemleri ile alakalı bilgi sahibi Tercihen İngilizce bilen İkna kabiliyeti yüksek satış odaklı Sorgulama ve araştırma yapabilen diksiyonu düzgün Analitik düşünme yetisine sahip Çözüm odaklı ve ekip çalışmasına uyumlu İş disiplini ve motivasyonu yüksek B sınıfı ehliyeti olan aktif araç kullanabilen ve seyahat engeli olmayan otuz beş yaşını aşmamış Esnek çalışma saatlerine uyum sağlayabilecek İş takibi ve sonuçlandırılması konusunda başarılı ve sorumluluk sahibi Erkek adaylar için askerlik hizmetini tamamlamış Sakarya’da ikamet eden,üniversitelerin işletme pazarlama veya mühendislik bölümlerinden mezun satış alanında kariyer hedefi olan girişken ve dış görünüşe önem veren tercihen makine plc ve otomasyon sistemleri ile alakalı bilgi sahibi tercihen ingilizce bilen ikna kabiliyeti yüksek satış odaklı sorgulama ve araştırma yapabilen diksiyonu düzgün analitik düşünme yetisine sahip çözüm odaklı ve ekip çalışmasına uyumlu iş disiplini ve motivasyonu yüksek b sınıfı ehliyeti olan aktif araç kullanabilen ve seyahat engeli olmayan otuz beş yaşını aşmamış esnek çalışma saatlerine uyum sağlayabilecek iş takibi ve sonuçlandırılması konusunda başarılı ve sorumluluk sahibi erkek adaylar için askerlik hizmetini tamamlamış sakarya’da ikamet eden,positive,male-dominated
45,Sales Specialist,Sales Representative/Specialist,İlgili alanda bir yıldan fazla deneyim Mükemmel kişilerarası becerilerle birlikte bağımsız çalışma yeteneği Satış müzakere ve iletişim becerileri güçlü Microsoft ofisi ve satış araçlarına aşina İngilizce ,ilgili alanda bir yıldan fazla deneyim mükemmel kişilerarası becerilerle birlikte bağımsız çalışma yeteneği satış müzakere ve iletişim becerileri güçlü microsoft ofisi ve satış araçlarına aşina ingilizce ,positive,male-dominated
46,Satış Temsilcisi,Sales Representative/Specialist,Alüminyum sektöründe daha önce çalışmış Daha önce şirketlerin satış departmanlarında çalışmış ve deneyimli İyi derecede Office programlarına hakim ERP kullanım konusunda deneyimli Özgüveni yüksek girişken diksiyonu düzgün ve dış görünümüne dikkat eden Satış ve satış sonrası tüm süreçlere hakim olan Proaktif hızlı aksiyon alabilen Yurtiçi seyehat engeli olmayan Sadece Beylikdüzü ve çevre ilçelerden,alüminyum sektöründe daha önce çalışmış daha önce şirketlerin satış departmanlarında çalışmış ve deneyimli iyi derecede office programlarına hakim erp kullanım konusunda deneyimli özgüveni yüksek girişken diksiyonu düzgün ve dış görünümüne dikkat eden satış ve satış sonrası tüm süreçlere hakim olan proaktif hızlı aksiyon alabilen yurtiçi seyehat engeli olmayan sadece beylikdüzü ve çevre ilçelerden,positive,male-dominated
47,Sales Specialist,Sales Representative/Specialist,Üniversite mezunu Tercihen İşletme Elektrik elektronik Tercihen kesintisiz güç kaynağı veya Endüstriyel ürünler sektöründe tecrübe sahibi Satış ve Pazarlama konularında minimum beş yıl tecrübesi bulunan Seyahat engeli bulunmayan İş disiplinini önemseyen sorumluluk sahibi takım çalışmasına yatkın MS Office programlarına hâkim Erkek adaylar için askerlik görevini tamamlamış,üniversite mezunu tercihen işletme elektrik elektronik tercihen kesintisiz güç kaynağı veya endüstriyel ürünler sektöründe tecrübe sahibi satış ve pazarlama konularında minimum beş yıl tecrübesi bulunan seyahat engeli bulunmayan iş disiplinini önemseyen sorumluluk sahibi takım çalışmasına yatkın ms office programlarına hâkim erkek adaylar için askerlik görevini tamamlamış,positive,male-dominated
48,Receptionist,Receptionist,Üniversitelerin ilgili bölümlerinden mezun Tercihen daha önce beş yıldızlı otellerde deneyim sahibi İleri derecede İngilizce bilen Dış görünüşüne özen gösteren diksiyonu düzgün Proaktif düşünce yapısına sahip Vardiyalı çalışabilecek Güler yüzlü Kişisel gelişimine özen gösteren Erkek adaylar için askerlik hizmetini tamamlamış Planlama ve organizasyon becerisi yüksek Yazılı ve sözlü iletişim dahil olmak üzere mükemmel müşteri hizmetleri becerisi sergileyen Sorumluluk ve disiplin sahibiEkip çalışmasına uyum sağlayan Birden fazla görevi önceliklendirme ve yönetme yeteneğine sahip,üniversitelerin ilgili bölümlerinden mezun tercihen daha önce beş yıldızlı otellerde deneyim sahibi ileri derecede ingilizce bilen dış görünüşüne özen gösteren diksiyonu düzgün proaktif düşünce yapısına sahip vardiyalı çalışabilecek güler yüzlü kişisel gelişimine özen gösteren erkek adaylar için askerlik hizmetini tamamlamış planlama ve organizasyon becerisi yüksek yazılı ve sözlü iletişim dahil olmak üzere mükemmel müşteri hizmetleri becerisi sergileyen sorumluluk ve disiplin sahibiekip çalışmasına uyum sağlayan birden fazla görevi önceliklendirme ve yönetme yeteneğine sahip,positive,female-dominated
49,Receptionist,Receptionist,Tercihen Lise yüksek okul veya üniversitelerin Turizm ve Otelcilik bölümlerinden mezun İngilizce bilen Aynı pozisyonda minimum bir Yıl tecrübeli Tercihen Elektra ön büro programını kullanabilen Çözüm odaklı yaklaşıma sahip problem çözme kabiliyeti yüksek Güler yüzlü çalışmayı ilke edinmiş Esnek çalışma saatlerine ayak uydurabilecek Dış görünümüne önem veren,tercihen lise yüksek okul veya üniversitelerin turizm ve otelcilik bölümlerinden mezun ingilizce bilen aynı pozisyonda minimum bir yıl tecrübeli tercihen elektra ön büro programını kullanabilen çözüm odaklı yaklaşıma sahip problem çözme kabiliyeti yüksek güler yüzlü çalışmayı ilke edinmiş esnek çalışma saatlerine ayak uydurabilecek dış görünümüne önem veren,negative,female-dominated
50,Receptionist,Receptionist,Tercihen Üniversitelerin Turizm Otelcilik Meslek Yüksekokulu mezunu Konusunda en az iki yıl tecrübeli İngilizceyi iyi derecede kullanabilen MS Office programlarına hakim Tercihen ElektraWeb Otelcilik programı bilen Vardiyalı çalışabilecek Güler yüzlü pozitif dış görünüşe ve kişisel öz bakımına özen gösteren İnsan ilişkilerinde başarılı iletişim ve problem çözme becerisi yüksek,tercihen üniversitelerin turizm otelcilik meslek yüksekokulu mezunu konusunda en az iki yıl tecrübeli ingilizceyi iyi derecede kullanabilen ms office programlarına hakim tercihen elektraweb otelcilik programı bilen vardiyalı çalışabilecek güler yüzlü pozitif dış görünüşe ve kişisel öz bakımına özen gösteren insan ilişkilerinde başarılı iletişim ve problem çözme becerisi yüksek,negative,female-dominated
51,Resepsiyon Görevlisi,Receptionist,Üniversitelerin Turizm Otelcilik veya ilgili bölümlerinden mezun Otel rezervasyon biriminde en az iki yıl deneyim sahibi İyi derecede İngilizce bilen Tercihen Sistem Otel ve Mikro Yazılım Programını bilen İkna ve iletişim kabiliyeti yüksek Maltepe veya yakın bölgelerde İkamet eden,üniversitelerin turizm otelcilik veya ilgili bölümlerinden mezun otel rezervasyon biriminde en az iki yıl deneyim sahibi iyi derecede ingilizce bilen tercihen sistem otel ve mikro yazılım programını bilen ikna ve iletişim kabiliyeti yüksek maltepe veya yakın bölgelerde ikamet eden,neutral,female-dominated
52,Resepsiyon Görevlisi,Receptionist,Üniversitelerin Turizm Otelcilik bölümlerinden mezun Benzer poziyonda deneyimi olan Vardiyalı olarak çalışabilecek İngilizce bilen Diksiyonu düzgün iletişimi kuvvetliçözüm üretebilen Takım çalışmasına uyumlu,üniversitelerin turizm otelcilik bölümlerinden mezun benzer poziyonda deneyimi olan vardiyalı olarak çalışabilecek ingilizce bilen diksiyonu düzgün iletişimi kuvvetliçözüm üretebilen takım çalışmasına uyumlu,negative,female-dominated
53,Ön Muhasebe ve Ofis Asistanı,Receptionist,Tercihen lisans veya ön lisans mezunu Planlama organizasyon ve koordinasyon becerilerine sahip İletişim problem çözme planlama becerileri gelişmiş ve ekip çalışmasına yatkın Prezentabl dinamik sorumluluk sahibi Ön muhasebe ve ofis yönetimi konusunda tecrübeli Diksiyon yeteneği gelişmiş İş disiplinine önem veren sorumluluk sahibi iş takibi güçlü Her türlü ofis sorumluluğunu alabilecek günlük ofis işlerinin yürütüp gerekli koordinasyonu sağlayacak İlgili bilgisayar programlarına hakim İnsan ilişkileri kuvvetli,tercihen lisans veya ön lisans mezunu planlama organizasyon ve koordinasyon becerilerine sahip iletişim problem çözme planlama becerileri gelişmiş ve ekip çalışmasına yatkın prezentabl dinamik sorumluluk sahibi ön muhasebe ve ofis yönetimi konusunda tecrübeli diksiyon yeteneği gelişmiş iş disiplinine önem veren sorumluluk sahibi iş takibi güçlü her türlü ofis sorumluluğunu alabilecek günlük ofis işlerinin yürütüp gerekli koordinasyonu sağlayacak ilgili bilgisayar programlarına hakim insan ilişkileri kuvvetli,negative,female-dominated
54,Front Desk Receptionist,Receptionist,Turizm ve otelcilik alanında eğitim almış Resepsiyonist olarak en az iki yıl deneyimli İyi derecede ingilizce bilgisine sahip olan Opera ve Mc Office programlarına hakim Temsil ve ikna yeteneği olan İnsan ilişkilerinde başarılı Takım çalışmasına inanan Güleryüzlü,turizm ve otelcilik alanında eğitim almış resepsiyonist olarak en az iki yıl deneyimli iyi derecede ingilizce bilgisine sahip olan opera ve mc office programlarına hakim temsil ve ikna yeteneği olan insan ilişkilerinde başarılı takım çalışmasına inanan güleryüzlü,negative,female-dominated
55,Elementary School Teacher,Teaching/Teacher,Bir öğretmen olarak kanıtlanmış deneyim Okulun politikalarını ve prosedürlerini takip etme istekliliği ile ortak en iyi uygulamaları ve yasal eğitim yönergelerini öğretme konusunda kapsamlı bilgi Mükemmel iletişim ve kişilerarası beceriler İyi organize edilmiş ve kararlı Yaratıcı ve enerjik Güçlü ahlaki değerler ve disiplin Eğitim sertifikası ile öğretim veya özel bir konuda derece,bir öğretmen olarak kanıtlanmış deneyim okulun politikalarını ve prosedürlerini takip etme istekliliği ile ortak en iyi uygulamaları ve yasal eğitim yönergelerini öğretme konusunda kapsamlı bilgi mükemmel iletişim ve kişilerarası beceriler iyi organize edilmiş ve kararlı yaratıcı ve enerjik güçlü ahlaki değerler ve disiplin eğitim sertifikası ile öğretim veya özel bir konuda derece,negative,female-dominated
56,Child Development Specialist,Teaching/Teacher,Lise veya önlisans çocuk gelişimi veya okul öncesi mezunu iletişim becerileri kuvvetli prezentabl güleryüzlü enrejik yaratıcı ve üretici yönü kuvvetli ekip çalışmasına ayak uydurabilen deneyimli,lise veya önlisans çocuk gelişimi veya okul öncesi mezunu iletişim becerileri kuvvetli prezentabl güleryüzlü enrejik yaratıcı ve üretici yönü kuvvetli ekip çalışmasına ayak uydurabilen deneyimli,negative,female-dominated
57,Öğretmen,Teaching/Teacher,Mesleki yeterliliğe sahip  Alan bilgisi güçlü Çalışma Disiplini olan  Ögrenci İletişimi Güçlü Soru Çözümünde Hızlı,mesleki yeterliliğe sahip  alan bilgisi güçlü çalışma disiplini olan  ögrenci iletişimi güçlü soru çözümünde hızlı,neutral,female-dominated
58,Sınıf Öğretmeni,Teaching/Teacher,Üniversitelerin Sınıf Öğretmenliği bölümünden mezunu Sınıf yönetimi becerisine sahip İletişim gücü yüksek Mesleğini ve çocukları seven Takım çalışmasına yatkın Mebbis e-okul vb. programları kullanabilen BEP hazırlamayı bilen Eğitim ve bilişim teknolojilerini yakından takip eden Sistemli ve düzenli çalışmayı kendine ilke edinmiş ,üniversitelerin sınıf öğretmenliği bölümünden mezunu sınıf yönetimi becerisine sahip iletişim gücü yüksek mesleğini ve çocukları seven takım çalışmasına yatkın mebbis e-okul vb. programları kullanabilen bep hazırlamayı bilen eğitim ve bilişim teknolojilerini yakından takip eden sistemli ve düzenli çalışmayı kendine ilke edinmiş ,negative,female-dominated
59,Sınıf Öğretmeni,Teaching/Teacher,Üniversitelerin Sınıf Öğretmenliği bölümü mezunu Pedagojik formasyon sertifikasına sahip Alanında deneyim sahibi Güncel mesleki gelişmeleri takip eden İletişim ve temsil yeteneği güçlü Ekip çalışmasına yatkın Eğitim Teknolojilerini etkin olarak kullanabilen Erkek adaylarda askerlik yükümlülüğü bulunmayan,üniversitelerin sınıf öğretmenliği bölümü mezunu pedagojik formasyon sertifikasına sahip alanında deneyim sahibi güncel mesleki gelişmeleri takip eden iletişim ve temsil yeteneği güçlü ekip çalışmasına yatkın eğitim teknolojilerini etkin olarak kullanabilen erkek adaylarda askerlik yükümlülüğü bulunmayan,negative,female-dominated
60,English Teacher,Teaching/Teacher,Full time çalışabilecek Tercihen ikinci dil olarak Ispanyolca bilen Üniversitelerin ilgili bölümünden mezun CELTA TESOL TEFL vb sertifikalara ve Pedagojik formasyona sahip olmak kaydıyla İngiliz Dili ve Edebiyatı Mütercim Tercümanlık vb. lisans bölümlerinden mezun Okul öncesi eğitim kurumlarında çalışmış MS Office programlarına hakim İletişimi güçlü Enerjik yaratıcı güleryüzlü çocukları seven Takım çalışmasına yatkın yeniliklere açık Kariyer hedefi olan ve kendini geliştirmeye açık Dış görünüşüne özen gösteren Esnek çalışma saatlerine yatkın İstanbul Anadolu yakasında ikamet eden,full time çalışabilecek tercihen ikinci dil olarak ispanyolca bilen üniversitelerin ilgili bölümünden mezun celta tesol tefl vb sertifikalara ve pedagojik formasyona sahip olmak kaydıyla ingiliz dili ve edebiyatı mütercim tercümanlık vb. lisans bölümlerinden mezun okul öncesi eğitim kurumlarında çalışmış ms office programlarına hakim iletişimi güçlü enerjik yaratıcı güleryüzlü çocukları seven takım çalışmasına yatkın yeniliklere açık kariyer hedefi olan ve kendini geliştirmeye açık dış görünüşüne özen gösteren esnek çalışma saatlerine yatkın istanbul anadolu yakasında ikamet eden,negative,female-dominated
61,Tarih Öğretmeni,Teaching/Teacher,Üniversitelerin Tarih Tarih Öğretmenliği bölümlerinden mezun pedagojik formasyon belgesine sahip Milli Eğitim tarafından Özel Öğretim Kurumlarına atanma kriterlerini taşıyan Alanında en az beş yıl deneyime sahip Güncel sınav uygulamalarına hakim Disiplinlerarası çalışmalara açık proje çalışmaları yürütmüş üretken Yeniliklere ve gelişime açık vizyon sahibi Kendi alanındaki mesleki gelişmeleri güncel olarak takip eden ve alanında en iyi olmayı hedefleyen Çağdaş eğitim yöntem ve teknolojilerini kullanabilen İletişim becerisi kuvvetli öğrenci ve veli iletişiminde başarılı Takım çalışmasına yatkın işbirlikçi Öğretmenlik mesleği için heyecan duyan motivasyonu yüksek,üniversitelerin tarih tarih öğretmenliği bölümlerinden mezun pedagojik formasyon belgesine sahip milli eğitim tarafından özel öğretim kurumlarına atanma kriterlerini taşıyan alanında en az beş yıl deneyime sahip güncel sınav uygulamalarına hakim disiplinlerarası çalışmalara açık proje çalışmaları yürütmüş üretken yeniliklere ve gelişime açık vizyon sahibi kendi alanındaki mesleki gelişmeleri güncel olarak takip eden ve alanında en iyi olmayı hedefleyen çağdaş eğitim yöntem ve teknolojilerini kullanabilen iletişim becerisi kuvvetli öğrenci ve veli iletişiminde başarılı takım çalışmasına yatkın işbirlikçi öğretmenlik mesleği için heyecan duyan motivasyonu yüksek,negative,female-dominated
